6125
NM_001184330.1	NM_001184330.1	MissingGeneType
NM_001178940.1	NM_001178940.1	MissingGeneType
NM_001178941.3	NM_001178941.3	MissingGeneType
NM_001178942.1	NM_001178942.1	MissingGeneType
NM_001178943.1	NM_001178943.1	MissingGeneType
NM_001178944.3	NM_001178944.3	MissingGeneType
NM_001184444.1	NM_001184444.1	MissingGeneType
NM_001178946.3	NM_001178946.3	MissingGeneType
NM_001178947.1	NM_001178947.1	MissingGeneType
NM_001180036.1	NM_001180036.1	MissingGeneType
NM_001178948.3	NM_001178948.3	MissingGeneType
NM_001178949.1	NM_001178949.1	MissingGeneType
NM_001178950.1	NM_001178950.1	MissingGeneType
NM_001178951.3	NM_001178951.3	MissingGeneType
NM_001180858.1	NM_001180858.1	MissingGeneType
NM_001178952.2	NM_001178952.2	MissingGeneType
NM_001178953.3	NM_001178953.3	MissingGeneType
NM_001178954.1	NM_001178954.1	MissingGeneType
NM_001178955.1	NM_001178955.1	MissingGeneType
NM_001178956.3	NM_001178956.3	MissingGeneType
NM_001178957.1	NM_001178957.1	MissingGeneType
NM_001178958.1	NM_001178958.1	MissingGeneType
NM_001178959.3	NM_001178959.3	MissingGeneType
NM_001178960.1	NM_001178960.1	MissingGeneType
NM_001178961.1	NM_001178961.1	MissingGeneType
NM_001178962.3	NM_001178962.3	MissingGeneType
NM_001178963.1	NM_001178963.1	MissingGeneType
NM_001178964.2	NM_001178964.2	MissingGeneType
NM_001178965.3	NM_001178965.3	MissingGeneType
NM_001184512.1	NM_001184512.1	MissingGeneType
NM_001178966.2	NM_001178966.2	MissingGeneType
NM_001178967.3	NM_001178967.3	MissingGeneType
NM_001178968.1	NM_001178968.1	MissingGeneType
NM_001178969.1	NM_001178969.1	MissingGeneType
NM_001184548.3	NM_001184548.3	MissingGeneType
NM_001178970.1	NM_001178970.1	MissingGeneType
NM_001178971.1	NM_001178971.1	MissingGeneType
NR_132168.1	NR_132168.1	MissingGeneType
NM_001178972.3	NM_001178972.3	MissingGeneType
NM_001178973.1	NM_001178973.1	MissingGeneType
NM_001178974.1	NM_001178974.1	MissingGeneType
NM_001270744.1	NM_001270744.1	MissingGeneType
NM_001178976.3	NM_001178976.3	MissingGeneType
NM_001178977.1	NM_001178977.1	MissingGeneType
NM_001178978.1	NM_001178978.1	MissingGeneType
NM_001180032.3	NM_001180032.3	MissingGeneType
NM_001178979.3	NM_001178979.3	MissingGeneType
NM_001178980.1	NM_001178980.1	MissingGeneType
NM_001178981.1	NM_001178981.1	MissingGeneType
NM_001178982.3	NM_001178982.3	MissingGeneType
NM_001178983.3	NM_001178983.3	MissingGeneType
NM_001178984.1	NM_001178984.1	MissingGeneType
NM_001180860.1	NM_001180860.1	MissingGeneType
NM_001178985.3	NM_001178985.3	MissingGeneType
NM_001178986.3	NM_001178986.3	MissingGeneType
NM_001178987.1	NM_001178987.1	MissingGeneType
NM_001178989.1	NM_001178989.1	MissingGeneType
NM_001178990.3	NM_001178990.3	MissingGeneType
NM_001178991.3	NM_001178991.3	MissingGeneType
NM_001178992.1	NM_001178992.1	MissingGeneType
NM_001178993.1	NM_001178993.1	MissingGeneType
NM_001178994.3	NM_001178994.3	MissingGeneType
NM_001178995.3	NM_001178995.3	MissingGeneType
NM_001178996.1	NM_001178996.1	MissingGeneType
NM_001178997.1	NM_001178997.1	MissingGeneType
NM_001178998.3	NM_001178998.3	MissingGeneType
NM_001179000.1	NM_001179000.1	MissingGeneType
NM_001179001.1	NM_001179001.1	MissingGeneType
NM_001179002.3	NM_001179002.3	MissingGeneType
NM_001179003.3	NM_001179003.3	MissingGeneType
NM_001179005.1	NM_001179005.1	MissingGeneType
NM_001179006.3	NM_001179006.3	MissingGeneType
NM_001179007.3	NM_001179007.3	MissingGeneType
NM_001179008.1	NM_001179008.1	MissingGeneType
NM_001179009.1	NM_001179009.1	MissingGeneType
NM_001179010.3	NM_001179010.3	MissingGeneType
NM_001179011.3	NM_001179011.3	MissingGeneType
NM_001179012.1	NM_001179012.1	MissingGeneType
NM_001179013.1	NM_001179013.1	MissingGeneType
NM_001179014.3	NM_001179014.3	MissingGeneType
NM_001179015.3	NM_001179015.3	MissingGeneType
NM_001179016.1	NM_001179016.1	MissingGeneType
NM_001179017.1	NM_001179017.1	MissingGeneType
NM_001179018.3	NM_001179018.3	MissingGeneType
NM_001179019.3	NM_001179019.3	MissingGeneType
NM_001179020.1	NM_001179020.1	MissingGeneType
NM_001179021.1	NM_001179021.1	MissingGeneType
NR_132169.1	NR_132169.1	MissingGeneType
NM_001179022.3	NM_001179022.3	MissingGeneType
NR_132170.1	NR_132170.1	MissingGeneType
NM_001179023.3	NM_001179023.3	MissingGeneType
NM_001179024.1	NM_001179024.1	MissingGeneType
NM_001348826.1	NM_001348826.1	MissingGeneType
NM_001179026.1	NM_001179026.1	MissingGeneType
NM_001179027.3	NM_001179027.3	MissingGeneType
NR_132171.1	NR_132171.1	MissingGeneType
NM_001179028.4	NM_001179028.4	MissingGeneType
NM_001184428.1	NM_001184428.1	MissingGeneType
NM_001184332.1	NM_001184332.1	MissingGeneType
NM_001179029.3	NM_001179029.3	MissingGeneType
NM_001179030.3	NM_001179030.3	MissingGeneType
NM_001179031.1	NM_001179031.1	MissingGeneType
NM_001179032.1	NM_001179032.1	MissingGeneType
NM_001179033.3	NM_001179033.3	MissingGeneType
NM_001179034.3	NM_001179034.3	MissingGeneType
NM_001179035.1	NM_001179035.1	MissingGeneType
NM_001348827.1	NM_001348827.1	MissingGeneType
NM_001179036.1	NM_001179036.1	MissingGeneType
NM_001179037.3	NM_001179037.3	MissingGeneType
NM_001179038.3	NM_001179038.3	MissingGeneType
NM_001179039.1	NM_001179039.1	MissingGeneType
NM_001179040.1	NM_001179040.1	MissingGeneType
NM_001179041.3	NM_001179041.3	MissingGeneType
NM_001179042.3	NM_001179042.3	MissingGeneType
NM_001179043.1	NM_001179043.1	MissingGeneType
NM_001179044.1	NM_001179044.1	MissingGeneType
NM_001179045.3	NM_001179045.3	MissingGeneType
